Municipality,Municipality_CTV,MuniTownype,MuniCode,CntyCode
Abbotsford,"Abbotsford, City",City,1051,10
Abbotsford,"Abbotsford, City",City,3751,37
Abrams,"Abrams, Town",Town,4201,42
Ackley,"Ackley, Town",Town,3401,34
Adams,"Adams, City",City,152,1
Adams,"Adams, Town",Town,101,1
Adams,"Adams, Town",Town,2301,23
Adams,"Adams, Town",Town,2721,27
Addison,"Addison, Town",Town,6601,66
Adell,"Adell, Village",Village,5951,59
Adrian,"Adrian, Town",Town,4101,41
Agenda,"Agenda, Town",Town,201,2
Ahnapee,"Ahnapee, Town",Town,3101,31
Ainsworth,"Ainsworth, Town",Town,3402,34
Akan,"Akan, Town",Town,5201,52
Alban,"Alban, Town",Town,4901,49
Albany,"Albany, Town",Town,2302,23
Albany,"Albany, Town",Town,4601,46
Albany,"Albany, Village",Village,2351,23
Albion,"Albion, Town",Town,1301,13
Albion,"Albion, Town",Town,2701,27
Albion,"Albion, Town",Town,6101,61
Alden,"Alden, Town",Town,4801,48
Algoma,"Algoma, City",City,3153,31
Algoma,"Algoma, Town",Town,7001,70
Allouez,"Allouez, Village",Village,558,5
Alma Center,"Alma Center, Village",Village,2751,27
Alma,"Alma, City",City,652,6
Alma,"Alma, Town",Town,601,6
Alma,"Alma, Town",Town,2702,27
Almena,"Almena, Town",Town,301,3
Almena,"Almena, Village",Village,360,3
Almon,"Almon, Town",Town,5801,58
Almond,"Almond, Town",Town,4902,49
Almond,"Almond, Village",Village,4951,49
Alto,"Alto, Town",Town,2001,20
Altoona,"Altoona, City",City,1853,18
Alvin,"Alvin, Town",Town,2101,21
Amberg,"Amberg, Town",Town,3801,38
Amery,"Amery, City",City,4861,48
Amherst Junction,"Amherst Junction, Village",Village,4953,49
Amherst,"Amherst, Town",Town,4903,49
Amherst,"Amherst, Village",Village,4952,49
Amnicon,"Amnicon, Town",Town,1601,16
Anderson,"Anderson, Town",Town,701,7
Anderson,"Anderson, Town",Town,2601,26
Angelica,"Angelica, Town",Town,5802,58
Angelo,"Angelo, Town",Town,4102,41
Aniwa,"Aniwa, Town",Town,5803,58
